Object ID,County GNIS Code,fips,Area of Land (Square Meters),Area of Water (Square Meters),county,state,Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range),Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range) - Margin of Error,"Median Household Income in past 12 months, Householder under 25 years","Median Household Income in past 12 months, Householder under 25 years - Margin of Error","Median Household Income in past 12 months, Householder 25 to 44 years","Median Household Income in past 12 months, Householder 25 to 44 years - Margin of Error","Median Household Income in past 12 months, Householder 45 to 64 years","Median Household Income in past 12 months, Householder 45 to 64 years - Margin of Error","Median Household Income in past 12 months, Householder 65 years and over","Median Household Income in past 12 months, Householder 65 years and over - Margin of Error","Median Household Income in past 12 months, Black or African American Householder","Median Household Income in past 12 months, Black or African American Householder - Margin of Error","Median Household Income in past 12 months, American Indian and Alaska Native Householder","Median Household Income in past 12 months, American Indian and Alaska Native Householder - Margin of Error","Median Household Income in past 12 months, Asian Householder","Median Household Income in past 12 months, Asian Householder - Margin of Error","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Householder","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Householder - Margin of Error","Median Household Income in past 12 months, Some Other Race Householder","Median Household Income in past 12 months, Some Other Race Householder - Margin of Error","Median Household Income in past 12 months, 2 or More Races Householder","Median Household Income in past 12 months, 2 or More Races Householder - Margin of Error","Median Household Income in past 12 months, Non-Hispanic White Householder","Median Household Income in past 12 months, Non-Hispanic White Householder - Margin of Error","Median Household Income in past 12 months, Hispanic or Latino Householder","Median Household Income in past 12 months, Hispanic or Latino Householder - Margin of Error",Total Households,Total Households - Margin of Error,Households with any self-employment income in past 12 months,Households with any self-employment income in past 12 months - Margin of Error,Households with no self-employment income in past 12 months,Households with no self-employment income in past 12 months - Margin of Error,Percent of households with any self-employment income,Percent of households with any self-employment income - Margin of Error,x,y
1,00161526,01001,1539602123,25706961,Autauga County,Alabama,58786,2972,,,61203,4583,79748,5751,40822,5108,27643,2692,,,,,,,,,,,65047,4072,83423,40245,21115,383,1737,355,19378,512,8.2,1.67463450847734,-86.6427482632969,32.5350741448193
2,00161527,01003,4117546676,1133055836,Baldwin County,Alabama,55962,1204,40051,5279,62192,3827,63921,2567,45680,1847,31112,4951,53289,8005,34763,14953,,,45634,37471,53456,13602,59418,1232,43279,13266,78622,1183,8340,748,70282,1339,10.6,0.937903415529446,-87.7226518349297,30.7287733957847
3,00161528,01005,2292144655,50538698,Barbour County,Alabama,34186,2552,17788,7151,35140,6613,40255,3537,30819,2922,23013,2168,,,50417,39263,,,26793,13936,19760,12725,47031,4192,30417,9948,9186,280,661,132,8525,304,7.2,1.42013141111482,-85.3930912283188,31.8698924062705
4,00161529,01007,1612167481,9602089,Bibb County,Alabama,45340,5618,26473,18165,53382,4797,52515,8477,35503,3633,34000,18877,,,,,,,,,20329,15011,50769,4252,42708,25761,6840,321,576,188,6264,351,8.4,2.71997781782396,-87.1264328940503,32.9988269525526
5,00161530,01009,1670103911,15015423,Blount County,Alabama,48695,2703,31058,16184,59345,6438,52951,2868,34070,1917,,,65385,54838,99219,57051,,,,,44934,10081,49872,2386,35495,7762,20600,396,1404,253,19196,449,6.8,1.22114702981425,-86.5672915338406,33.981101552051
6,00161531,01011,1613059160,6054988,Bullock County,Alabama,32152,10285,8404,2818,14568,9504,44609,9576,45742,18567,21875,7470,,,,,,,,,,,63636,12017,,,3609,196,301,131,3308,228,8.3,3.60144275469054,-85.715716910884,32.1006956701416
7,00161532,01013,2012002530,2701198,Butler County,Alabama,39109,2026,29861,9594,41543,3962,42328,5710,34795,3885,26260,2488,,,96618,48883,,,,,,,49094,4552,8558,7018,6708,274,413,92,6295,290,6.2,1.34824250183533,-86.6802880828758,31.7526881510561
8,00161533,01015,1569189622,16627597,Calhoun County,Alabama,45197,1578,22188,3907,50763,3746,55428,2397,36555,2228,28478,3680,51333,25277,38750,13044,,,43942,11586,33068,9978,51481,2178,36766,9034,45033,683,4024,424,41009,762,8.9,0.93172702623609,-85.8259893403797,33.7716186090011
9,00161534,01017,1545085607,16971701,Chambers County,Alabama,39872,2347,33818,5610,48750,5955,44894,4311,30335,3469,31185,2835,,,71563,30482,,,,,,,48000,2811,,,13516,372,719,175,12797,372,5.3,1.28645702248769,-85.3920612254039,32.9145755494222
10,00161535,01019,1433623321,120308339,Cherokee County,Alabama,41014,1931,31297,15697,51572,8013,41663,7681,35253,3446,35096,15083,,,,,,,,,,,41483,2370,20995,10266,10606,370,990,225,9616,453,9.3,2.09629940545346,-85.6037932332674,34.1762700714534
11,00161536,01021,1794477075,20592144,Chilton County,Alabama,45182,3184,30054,13246,45551,7928,54666,3970,31843,4191,30828,7942,2499,,64489,44836,,,35694,4706,,,47778,3116,36355,9979,16751,494,1160,201,15591,483,6.9,1.18242178179658,-86.7187934350784,32.8480623386723
12,00161537,01023,2365869835,19144469,Choctaw County,Alabama,34884,2927,2499,,39833,15243,37031,4734,27115,4613,26250,4859,,,,,,,,,25288,14022,50106,9197,,,5350,241,224,68,5126,251,4.2,1.25695653154866,-88.2631436542081,32.0201318340368
13,00161538,01025,3207494111,36657891,Clarke County,Alabama,36127,4237,31042,25278,46097,7901,36224,7049,29690,5157,22948,5097,,,181281,29840,,,,,,,48177,3368,,,9358,322,466,136,8892,302,5,1.44316561097905,-87.8308635740794,31.6772462960263
14,00161539,01027,1564251835,5285207,Clay County,Alabama,41225,4334,32768,22398,47528,5707,52406,8011,30650,5942,29955,6992,13182,4097,,,,,,,,,45000,4718,30324,12390,5236,241,444,123,4792,252,8.5,2.31647060036116,-85.8604882755854,33.2692908026307
15,00161540,01029,1450663940,2354896,Cleburne County,Alabama,40188,4625,25750,10854,52557,8946,48056,10489,27158,4574,18693,15401,,,,,,,,,41528,34934,41973,4516,17614,4997,5726,180,532,103,5194,198,9.3,1.77494322458678,-85.5187190074286,33.6748572710742
16,00161541,01031,1758565925,3907189,Coffee County,Alabama,53155,2474,27444,11119,56580,4559,64698,3497,44493,5012,37154,6231,33688,6277,48509,19119,,,79783,33285,,,58598,2802,62763,26056,19789,339,1653,211,18136,350,8.4,1.05660331071561,-85.9882016373578,31.4028662168329
17,00161542,01033,1535202321,79700277,Colbert County,Alabama,47558,2607,31369,6862,54167,4720,54975,3987,35080,2369,30676,4332,80792,60169,103036,85157,,,30885,30866,,,51330,2185,31790,18014,21799,445,1618,253,20181,545,7.4,1.15067072435067,-87.7779432224139,34.653101010124
18,00161543,01035,2202007854,6632046,Conecuh County,Alabama,33177,2481,22292,11949,32373,4407,38359,4547,30250,6632,29031,7947,13672,635,,,,,,,,,36542,4541,,,4574,254,215,66,4359,263,4.7,1.41913273819742,-86.9936686072692,31.4295155992919
19,00161544,01037,1685850815,39987271,Coosa County,Alabama,38301,3436,,,45667,15004,38750,7138,32236,4510,29795,4713,,,,,,,,,,,45639,4491,,,4103,243,211,94,3892,261,5.1,2.27067145959034,-86.2476813429705,32.9363987663138
20,00161545,01039,2669129020,34231390,Covington County,Alabama,40601,1923,35521,8708,50343,6870,45934,5010,32313,2033,20903,5032,,,33250,26517,,,,,31827,24296,45148,3244,29688,19324,15008,381,1386,218,13622,413,9.2,1.43351377009483,-86.451262001115,31.2488503654091
21,00161546,01041,1576952799,5388561,Crenshaw County,Alabama,39812,2817,27857,15645,50582,7890,49238,6135,24542,2418,25313,3838,,,63021,30259,,,,,,,45254,4219,58839,49044,5025,193,479,99,4546,198,9.5,1.93583210362682,-86.3135513343597,31.7318762272674
22,00161547,01043,1903073019,52422496,Cullman County,Alabama,42558,1523,31690,5966,46860,6228,53330,3367,31875,2156,38819,8932,,,,,,,37333,7162,23533,9636,43054,1537,40561,7782,30730,592,3097,331,27633,624,10.1,1.05948118506864,-86.8675454737555,34.1321836767011
23,00161548,01045,1453244553,4082940,Dale County,Alabama,45960,2816,26089,14616,46880,4915,54450,4059,37125,2685,29792,3653,52404,30645,67727,60949,,,47039,39158,59063,29122,52019,3886,43849,9382,18670,402,1302,202,17368,468,7,1.07147917937113,-85.611023732565,31.4320252228119
24,00161549,01047,2534919599,39124778,Dallas County,Alabama,31602,1447,24871,7260,30404,2811,36169,3291,30639,2645,24396,1529,,,170568,138654,,,,,47634,12333,53185,5709,80409,53865,16336,360,1124,220,15212,403,6.9,1.33815580925099,-87.1064589561158,32.3263194700768
25,00161550,01049,2012676479,4121543,DeKalb County,Alabama,39233,2081,25795,6070,48913,4252,42557,3563,29886,2066,35101,18083,48264,37660,68096,31340,,,23232,4554,35547,28742,40935,1464,26456,4669,26132,621,3070,381,23062,725,11.7,1.4310036722349,-85.8039565078316,34.4601707861033
26,00161551,01051,1601769095,99957723,Elmore County,Alabama,59347,2721,28201,5772,66883,3723,68538,4903,44277,4369,40899,6912,60972,9775,78438,72373,,,50182,11014,63125,21184,64693,2945,45700,24935,29143,638,2574,370,26569,645,8.8,1.25479129885156,-86.1491555042172,32.5967969140434
27,00161552,01053,2448115119,20504948,Escambia County,Alabama,35000,3118,27452,9384,38286,3624,40881,2255,28350,2379,22506,3228,32075,14044,,,,,,,,,42240,3444,,,13428,429,768,148,12660,427,5.7,1.08692256529947,-87.1616281026529,31.12621659208
28,00161553,01055,1386373604,34568854,Etowah County,Alabama,44023,1776,24573,3338,48531,3346,53399,2584,36119,1903,29107,5343,25625,11335,,,,,30600,17312,16653,6678,48352,2512,27276,3440,38777,531,2971,344,35806,622,7.7,0.880897798549006,-86.0347695641697,34.0453765665997
29,00161554,01057,1625693290,4330881,Fayette County,Alabama,37458,3109,28065,13763,52813,10865,38348,5668,30644,4674,30353,7820,,,,,,,,,,,39471,3163,,,6947,236,554,138,6393,260,8,1.96790905707837,-87.738875454775,33.7214077016996
30,00161555,01059,1641841406,32643981,Franklin County,Alabama,40459,2822,54856,25381,48750,6048,46471,6444,28980,2828,39519,7661,,,,,,,34035,1330,17361,3912,40878,2651,34941,16467,11210,295,830,177,10380,311,7.4,1.56687915459081,-87.8438217909174,34.4417797006278
31,00161556,01061,1487897666,11578163,Geneva County,Alabama,38142,3168,25833,8992,45000,5835,44364,6012,31064,2306,25867,5078,35682,29013,,,,,67700,51818,62500,52102,40057,3044,37396,24730,10479,351,1223,241,9256,374,11.7,2.26636958614963,-85.8389868881559,31.0950755294832
32,00161557,01063,1675782061,33416141,Greene County,Alabama,21804,4672,2499,,24583,10301,21824,8791,19147,7030,17617,4171,,,,,,,,,,,53608,11204,,,2955,217,87,61,2868,203,2.9,2.05294451365091,-87.9522547653587,32.853499002422
33,00161558,01065,1667907112,32423361,Hale County,Alabama,30571,4241,,,29114,5332,37664,6114,27547,3469,23618,2967,,,,,,,,,,,53008,6376,,,5658,227,441,104,5217,235,7.8,1.81131033593816,-87.6290901969292,32.7630152931817
34,00161559,01067,1454926621,16986823,Henry County,Alabama,48610,3806,27850,19353,53673,7359,54037,6243,36875,5394,32035,5298,,,,,,,,,69500,64893,53848,3684,52721,43122,6669,252,498,157,6171,260,7.5,2.33720469512985,-85.2414057249117,31.5149189015088
35,00161560,01069,1501854593,4683050,Houston County,Alabama,45496,941,22694,3185,48213,1436,54164,1902,37975,1007,28002,1336,39402,31744,50417,12039,,,58958,22297,36816,1492,54264,1200,38819,5269,39253,346,3252,192,36001,373,8.3,0.483652525146473,-85.3025687930454,31.1533183920305
36,00161561,01071,2791974056,126334709,Jackson County,Alabama,39816,1602,27962,3845,39945,5072,48664,4589,32283,1682,29000,12964,,,29018,7823,,,21060,697,44208,22851,40172,1310,,,20626,420,1584,225,19042,432,7.7,1.07958941679273,-85.9992431907393,34.7797327053703
37,00161562,01073,2878465205,32885044,Jefferson County,Alabama,51979,687,26177,2854,54726,1067,61528,1105,40402,1011,36475,875,47560,18987,74185,10285,,,39146,5551,44069,10125,68571,1402,42726,4549,260924,1524,21277,977,239647,1824,8.2,0.371397007812422,-86.8962818035501,33.5546822204504
38,00161563,01075,1566544637,1600679,Lamar County,Alabama,36756,2887,,,51942,5810,43381,6502,26875,2855,19359,9970,,,,,,,,,,,40542,5037,,,5974,265,431,132,5543,250,7.2,2.18627554350349,-88.0968938477446,33.7796074926482
39,00161564,01077,1730146083,133608930,Lauderdale County,Alabama,46265,1490,21316,2821,52019,5238,60959,4261,39244,1668,29756,5191,,,,,,,108158,49628,34302,15814,48392,1473,31471,27298,38514,545,3171,384,35343,653,8.2,0.990209441497574,-87.6540341827507,34.9014581324587
40,00161565,01079,1788864247,68682382,Lawrence County,Alabama,44515,2491,20852,7409,59966,7514,50565,4888,31804,3028,30732,3349,60882,19961,,,,,,,76058,28441,45020,2667,45720,20914,12811,345,1139,253,11672,410,8.9,1.96029765688637,-87.311038124038,34.5219699756141
41,00161566,01081,1573548952,21492291,Lee County,Alabama,48056,1506,13203,1989,50827,1723,72135,3396,43251,1993,30862,2608,,,53103,4093,,,,,34464,11589,56733,2788,44138,6747,59373,763,4771,570,54602,914,8,0.954462304785774,-85.3555932531641,32.6012459958897
42,00161567,01083,1450277885,122329729,Limestone County,Alabama,56460,3118,31677,10405,62899,6872,71481,6214,41571,2859,45192,12498,89143,16350,97880,28518,,,31446,14451,,,59454,3315,34747,12717,32126,524,2927,398,29199,624,9.1,1.22992662459096,-86.9814222585815,34.8103115956173
43,00161568,01085,1854201378,23721835,Lowndes County,Alabama,30833,3373,,,31661,8933,40336,5814,23403,1468,23493,1148,,,,,,,,,,,62875,8085,,,4180,158,247,69,3933,174,5.9,1.63553665448002,-86.6501197450936,32.1549638252851
44,00161569,01087,1576855717,11345392,Macon County,Alabama,32074,2430,12083,6794,30461,10074,39557,3017,30016,3346,29201,2667,,,,,,,22303,12030,51250,6207,44388,5846,,,7637,268,519,112,7118,286,6.8,1.44702409109439,-85.6926760913319,32.3861059977991
45,00161570,01089,2076091216,28831382,Madison County,Alabama,63417,1447,26832,4422,61166,2197,83004,3143,51912,2242,39512,2394,70673,9897,77300,16829,77838,54233,24293,4380,68508,12952,74056,1685,41331,3759,145256,1161,12151,790,133105,1314,8.4,0.539741851694004,-86.5502264737468,34.7634371682065
46,00161572,01091,2530140238,14966620,Marengo County,Alabama,32809,3613,8260,6984,34007,6025,38566,6629,26204,5221,22865,3317,,,,,,,,,,,55027,5026,91161,44170,7768,271,439,162,7329,301,5.7,2.07613842024662,-87.7894776140182,32.2479762337566
47,00161573,01093,1922656563,3184076,Marion County,Alabama,35392,3171,19536,11722,41163,5125,46011,4772,24142,2117,31406,15854,36250,29180,,,,,43792,5194,,,35952,4187,44458,11298,12212,403,1224,202,10988,405,10,1.62070358844756,-87.8871931328594,34.1367611508576
48,00161574,01095,1465531860,148495464,Marshall County,Alabama,42490,1703,28160,6898,45732,4204,50037,2434,35833,2285,40220,3962,38665,2492,132857,55323,,,35386,2549,46738,6537,44560,1908,30431,3339,34896,540,3570,379,31326,586,10.2,1.07448449162776,-86.306640993731,34.367195982109
49,00161575,01097,3184053031,1074031983,Mobile County,Alabama,46166,1129,22938,3140,48885,1856,54870,1470,38365,1087,30098,1205,48077,20322,53950,6438,87083,44900,35064,15247,41775,3973,58079,1554,42843,14598,155831,1271,10804,658,145027,1245,6.9,0.418448637837343,-88.2068495698987,30.7909006645652
50,00161576,01099,2656469661,22609681,Monroe County,Alabama,30141,4709,18059,6009,26511,6406,34550,6088,27004,6040,16778,2716,57987,24240,,,,,,,,,46593,5108,15156,3869,8149,259,406,98,7743,282,5,1.19213080700338,-87.3652327440188,31.5712958815323
51,00161577,01101,2033918497,37844005,Montgomery County,Alabama,47990,1315,21574,1511,47579,2419,57625,2720,43578,3126,36806,1282,51797,24231,69951,7684,,,39342,19066,43750,17513,68120,2233,39387,9067,89835,873,7106,569,82729,1006,7.9,0.628701677913083,-86.2076543605594,32.2205552520719
52,00161578,01103,1500612908,50921199,Morgan County,Alabama,49751,2001,34441,6787,51776,4045,59704,4226,39389,2439,30435,2598,108362,37325,55978,27247,,,29361,9711,51250,33193,53372,2165,38168,6498,45646,672,3863,409,41783,714,8.5,0.887321493496907,-86.8529531764999,34.4536108573691
53,00161579,01105,1863900621,10937769,Perry County,Alabama,23561,2573,,,18884,2285,26288,8389,23281,5709,20262,6334,,,,,,,,,,,24545,2845,,,3079,238,148,82,2931,240,4.8,2.63715680287451,-87.2943307398526,32.6387465230266
54,00161580,01107,2282893837,22521210,Pickens County,Alabama,37458,3062,,,44559,11249,45260,5619,25781,2679,22405,4880,,,,,,,,,,,55632,7130,,,7530,262,761,146,6769,298,10.1,1.90675812826773,-88.0886455150091,33.2812338157621
55,00161581,01109,1740647518,2336975,Pike County,Alabama,34678,3262,8776,5012,36627,11926,44276,5041,34681,2361,21162,3320,55875,18250,50511,40159,,,,,36895,18690,48480,3769,,,11547,553,965,190,10582,570,8.4,1.59603106841871,-85.9409258425936,31.8029002194124
56,00161582,01111,1503615935,9285419,Randolph County,Alabama,41449,3941,29792,23386,42261,7723,51915,6052,31460,2470,31885,2112,,,,,,,,,,,45261,4125,,,8643,314,911,196,7732,339,10.5,2.23516649851426,-85.4590864933676,33.2940059233752
57,00161583,01113,1660577613,15641643,Russell County,Alabama,40978,2192,25889,12198,42218,3532,49502,5618,32409,4579,35088,4183,25945,8696,,,,,,,54132,12831,44474,2948,42481,25414,22740,505,1429,291,21311,530,6.3,1.27205117492435,-85.1849625418246,32.2885661152896
58,00164997,01115,1635844944,56400695,St. Clair County,Alabama,54887,2057,26951,13679,66677,2374,56649,4919,40359,2998,43634,15145,,,62500,39941,,,,,,,56223,2550,51319,43153,32172,526,2765,348,29407,645,8.6,1.07252030984008,-86.3145434104033,33.716021656475
59,00161584,01117,2034112797,62537787,Shelby County,Alabama,75761,1348,36780,6362,78794,2917,94461,3344,51868,2204,61900,5371,106350,45911,89911,21215,120865,54220,38523,6435,66111,15062,78109,1667,48652,7125,78328,781,8326,558,70002,876,10.6,0.704460575061725,-86.6605566496439,33.2645286353413
60,00161585,01119,2340898915,24634883,Sumter County,Alabama,23132,2361,,,28640,11710,26383,6384,18348,5566,19530,3484,,,,,,,,,,,61389,23276,,,5047,276,298,94,4749,285,5.9,1.83428968052407,-88.1988372191985,32.5915646462126
61,00161586,01121,1908256939,60926366,Talladega County,Alabama,41012,1513,31992,12015,41360,3274,50412,3688,33656,1920,28110,4502,13552,12261,,,,,,,44474,40230,49074,2154,,,31407,559,1875,300,29532,655,6,0.949272562269766,-86.1657410130696,33.3804555529847
62,00161587,01123,1855782851,128806123,Tallapoosa County,Alabama,43361,3489,16504,2370,46116,7291,55562,3787,33871,3802,23161,2036,,,50880,22423,,,29338,15097,45855,39569,52985,2399,,,16448,444,1225,240,15223,467,7.4,1.44522735465514,-85.7975053653148,32.8628014914295
63,00161588,01125,3421009204,78715350,Tuscaloosa County,Alabama,52221,1240,18790,4203,59741,2786,60279,3072,45489,2892,36006,1710,44318,40333,46103,15659,,,39821,15631,34158,3527,63524,1842,38601,9667,72379,805,5713,472,66666,947,7.9,0.646186884916606,-87.5250294280787,33.2899806891303
64,00161589,01127,2048686080,36754696,Walker County,Alabama,41748,1803,28241,10427,47383,4217,51189,3729,34153,2213,23750,5322,36366,777,51667,8662,,,32375,27019,23500,1715,43859,2360,33372,4874,25036,517,2114,358,22922,650,8.4,1.41926984607464,-87.2974130509336,33.803581039941
65,00161590,01129,2797720360,21652733,Washington County,Alabama,40794,3442,,,50833,4526,47868,7489,28807,4710,27972,15348,34691,20326,,,,,,,55188,35164,45506,5792,,,6007,269,414,135,5593,283,6.9,2.22608535454553,-88.2079110363064,31.4079938240875
66,00161591,01131,2301075082,49057525,Wilcox County,Alabama,27237,4033,24444,2423,35820,8203,26141,4665,25996,4450,23522,3029,,,,,,,,,,,43304,9116,,,3804,181,186,67,3618,182,4.9,1.74587041808613,-87.3082633736524,31.9894180423157
67,00161592,01133,1587608920,48922726,Winston County,Alabama,38504,3600,21370,1938,45462,5835,45692,6836,26421,2354,,,21713,1737,,,,,,,13421,4622,39661,3318,,,9403,342,866,182,8537,356,9.2,1.90634619652681,-87.3736914612954,34.1493694083697
68,01419964,02013,18091255385,20800268276,Aleutians East Borough,Alaska,69706,4788,37188,32108,70833,5574,78125,4928,58500,17785,,,58750,8416,66635,24478,,,,,88750,36716,87679,13404,54750,12674,860,141,258,54,602,105,30,3.90308153001729,-161.943999807528,55.4548146352403
69,01419965,02016,11375510886,25186009907,Aleutians West Census Area,Alaska,85517,3718,55000,36239,85500,5793,95750,5305,51667,19132,55833,10147,55694,11500,83661,4203,58438,13749,99375,9723,83125,17176,107250,11090,86250,7724,1176,128,162,34,1014,109,13.8,2.47197482186266,-166.973257895311,53.5729574772445
70,01416061,02020,4419562836,615500204,Anchorage Municipality,Alaska,83280,1770,47331,5442,83691,2650,101667,3679,70314,3381,56477,3229,61242,4260,68289,4789,62412,7462,66604,5207,67901,5303,95107,2501,66442,5039,106524,866,14276,875,92248,1209,13.4,0.814153566799212,-149.10935048315,61.1518300419091
71,01419966,02050,105228817205,12768645652,Bethel Census Area,Alaska,54212,2972,49500,13615,60884,6142,54531,5153,44097,5013,118472,55286,44715,2265,117212,26738,,,,,71000,17849,114286,15117,78214,69002,4558,160,437,81,4121,149,9.6,1.74493548539215,-159.210116603147,61.3470640215588
72,01419967,02060,1248324005,949768219,Bristol Bay Borough,Alaska,84688,10676,31250,8205,80417,19760,97679,12510,63125,19114,,,57813,13962,,,,,,,76875,59678,98333,7560,,,333,41,124,26,209,43,37.2,6.31995199045173,-156.701304040227,58.7444881099613
73,01419988,02068,32729577065,66105677,Denali Borough,Alaska,84196,7160,,,97750,27207,83906,7212,70750,30479,,,69375,40909,,,,,,,108333,27051,83056,10865,,,639,228,107,53,532,188,16.7,5.75297681092163,-149.999772268173,63.7978633072953
74,01419968,02070,47478023796,5950680491,Dillingham Census Area,Alaska,58750,4339,25714,7662,61696,5202,64318,7836,47292,5936,70938,12911,47198,4007,,,,,73906,53444,78125,13443,103047,22591,73942,51069,1420,71,337,47,1083,66,23.7,3.0898383889112,-158.204495839862,59.8248360218967
75,01419969,02090,18983364355,273047179,Fairbanks North Star Borough,Alaska,77095,2705,42475,7147,78431,5770,95764,6307,73063,8038,61970,15208,51843,9523,57877,9256,93896,606,54719,22730,61987,8964,81481,2671,66346,22366,36513,746,3817,420,32696,847,10.5,1.13027235357584,-146.564798629908,64.8115180079753
76,01419970,02100,6059513753,1051059522,Haines Borough,Alaska,64342,19415,13854,713,55000,16055,88657,13217,51058,29300,,,21250,16056,,,,,,,63090,20964,73189,23750,,,1026,94,273,96,753,115,26.6,9.03357622388968,-136.132849574764,59.4181853990965
77,02371430,02105,16981566503,7801359160,Hoonah-Angoon Census Area,Alaska,63603,6054,,,75000,25124,64722,6598,53333,9510,,,43333,4103,,,,,,,55833,7330,79896,8117,71250,18191,799,87,187,38,612,73,23.4,4.01555456660604,-137.287921744819,58.7278548991387
78,01419971,02110,7002973758,1426663852,Juneau City and Borough,Alaska,88213,3956,67220,7509,87364,6417,106431,8295,69069,9705,,,57981,12829,85357,16762,,,113487,39043,77361,27255,93514,4909,51534,29615,12521,225,2205,231,10316,293,17.6,1.81755710206233,-134.176842523812,58.5199929872506
79,01419972,02122,41500185165,22525337842,Kenai Peninsula Borough,Alaska,66684,2674,41118,3636,72473,4655,77297,8391,55055,4646,81563,19346,38935,9027,141029,88547,,,86157,48248,65048,13092,69102,3944,49297,18506,21741,345,3699,327,18042,455,17,1.47964016654657,-150.28732132155,60.1927665849565
80,01419973,02130,12579243763,4651750442,Ketchikan Gateway Borough,Alaska,70356,3342,32976,6706,71625,4088,82846,5065,55296,3022,50000,21795,37826,5634,65917,6526,,,50417,12669,61827,18020,77806,5262,61042,29578,5327,130,890,99,4437,163,16.7,1.81318006861234,-130.535026858729,55.5347993864297
81,01419974,02150,17133720200,14166823224,Kodiak Island Borough,Alaska,78281,9886,30760,4168,73349,9514,96875,8414,66875,14182,,,51169,5989,71667,21205,,,94722,25499,65625,58699,88482,12191,92740,33204,4373,152,805,151,3568,188,18.4,3.39320578852444,-153.473137173498,57.447412079167
82,01419985,02158,44221226622,6694349084,Kusilvak Census Area,Alaska,35539,3260,22813,4871,32692,5260,39934,4950,33452,2183,,,34406,2309,,,,,,,35313,8919,104167,73962,,,1692,63,292,33,1400,66,17.3,1.84146209415316,-163.372681066009,62.1699578144648
83,01419975,02164,61893966490,25992281749,Lake and Peninsula Borough,Alaska,46406,5186,32500,26636,59250,6172,46250,6097,35625,5773,,,36771,3955,,,,,,,46875,39054,81250,11849,,,425,121,117,38,308,91,27.5,4.30276139815786,-155.023004911578,59.6114790817019
84,01419976,02170,64008421559,1456871464,Matanuska-Susitna Borough,Alaska,75905,1736,41375,7439,84286,2300,85240,2610,49099,2172,61186,8585,59620,9681,62750,36315,,,80227,58634,69551,8080,76832,1677,81571,7555,30879,363,4190,280,26689,400,13.6,0.892624668541217,-149.561403009095,62.3309680722925
85,01419977,02180,59497122355,13774270048,Nome Census Area,Alaska,58987,3166,46250,9753,64408,4994,58750,3660,50125,4069,,,44447,3173,,,,,,,82692,6299,99333,7120,,,2875,114,373,50,2502,109,13,1.66130135371903,-163.547618200209,65.0697130103525
86,01419978,02185,230054122583,15549060273,North Slope Borough,Alaska,75431,13210,58500,14505,84440,9604,83843,18902,45972,8030,99671,28159,59554,10287,116875,45429,77361,22756,,,120875,67647,116500,50598,93125,75939,1966,225,145,61,1821,198,7.4,2.98572711115188,-153.452189108757,69.3491489635234
87,01419979,02188,92329079390,12875662550,Northwest Arctic Borough,Alaska,62949,3677,61667,26328,59583,6905,70278,6106,48269,10796,,,48971,3999,127917,28073,,,,,122727,5348,119868,7924,,,1860,62,126,37,1734,57,6.8,1.97638971714203,-159.711466111686,67.0871169731998
88,02516404,02195,7512557785,2385954337,Petersburg Borough,Alaska,66907,2820,30972,4735,69808,6552,90500,9423,54063,18021,23750,4189,33068,4675,43558,10461,,,,,75000,16792,73661,7638,66667,2882,1170,102,358,72,812,97,30.6,5.54563209372145,-132.876637883379,57.2878763075783
89,01419980,02198,13630515350,14624992705,Prince of Wales-Hyder Census Area,Alaska,54191,2561,24375,12608,68631,4271,56286,3041,39609,5964,,,44519,7442,67917,17513,56250,17020,,,45000,15087,62083,7930,90000,53098,2356,80,560,60,1796,93,23.8,2.4154121216182,-132.887188697901,55.6311232613912
90,01419981,02220,7433305216,5037858065,Sitka City and Borough,Alaska,71534,4048,41205,7109,72407,7265,86143,8649,59207,4935,,,45250,19845,101250,16119,,,65000,34353,40893,13941,77949,7264,56667,14625,3561,119,800,104,2761,149,22.5,2.82238621884536,-135.051044856274,56.9560128617532
91,02339479,02230,1123881121,28784118,Skagway Municipality,Alaska,72237,5731,51250,7423,71528,7572,78472,5935,70625,13443,,,38750,9204,52188,34212,,,,,48125,1662,77083,4306,49688,30192,400,54,94,17,306,48,23.5,2.82802824420125,-135.337346644693,59.5634356038485
92,01419983,02240,64290686975,751965527,Southeast Fairbanks Census Area,Alaska,71541,6871,40750,7894,84130,17089,79609,12638,43750,13482,33750,30335,27353,4082,,,,,71667,48421,32308,27335,80625,7522,70982,17604,2163,121,299,66,1864,130,13.8,2.95170436526758,-143.211588564537,63.9078015603469
93,01419984,02261,88634324631,15756537958,Valdez-Cordova Census Area,Alaska,82306,5784,60833,33513,65221,27867,86282,4949,77879,42790,,,38102,10229,,,138000,52408,46860,26366,173203,156134,86941,9849,66250,3437,3093,160,520,147,2573,176,16.8,4.67241793331313,-144.343869049309,61.6484531704987
94,02516402,02275,6619997013,2384375232,Wrangell City and Borough,Alaska,57583,7200,22500,16907,68750,5949,68462,13084,31875,21431,,,24554,8799,115833,20474,,,,,54500,21791,61310,5098,26595,4271,1074,78,213,47,861,90,19.8,4.13233892508775,-131.860666646949,56.3691239092826
