Object ID,County GNIS Code,fips,Area of Land (Square Meters),Area of Water (Square Meters),county,state,Total Population 1 year and over,Total Population 1 year and over - Margin of Error,Population 1 year and over who lived in the same house 1 year ago,Population 1 year and over who lived in the same house 1 year ago - Margin of Error,Population 1 year and over who lived in a different house in the United States 1 year ago,Population 1 year and over who lived in a different house in the United States 1 year ago - Margin of Error,Population 1 year and over who lived in a different house in the same city or town 1 year ago,Population 1 year and over who lived in a different house in the same city or town 1 year ago - Margin of Error,All Population 1 year and over who lived in a different city or town in the United States 1 year ago,All Population 1 year and over who lived in a different city or town in the United States 1 year ago - Margin of Error,Population 1 year and over who lived in a different house in the same county 1 year ago,Population 1 year and over who lived in a different house in the same county 1 year ago - Margin of Error,All Population 1 year and over who lived in a different county 1 year ago,All Population 1 year and over who lived in a different county 1 year ago - Margin of Error,Population 1 year and over who lived in a different county within the same state 1 year ago,Population 1 year and over who lived in a different county within the same state 1 year ago - Margin of Error,All Population 1 year and over who lived in a different state 1 year ago,All Population 1 year and over who lived in a different state 1 year ago - Margin of Error,Population 1 year and over who lived in a different state 1 year ago who lived in the Northeast,Population 1 year and over who lived in a different state 1 year ago who lived in the Northeast - Margin of Error,Population 1 year and over who lived in a different state 1 year ago who lived in the Midwest,Population 1 year and over who lived in a different state 1 year ago who lived in the Midwest - Margin of Error,Population 1 year and over who lived in a different state 1 year ago who lived in the South,Population 1 year and over who lived in a different state 1 year ago who lived in the South - Margin of Error,Population 1 year and over who lived in a different state 1 year ago who lived in the West,Population 1 year and over who lived in a different state 1 year ago who lived in the West - Margin of Error,All population 1 year and over who lived abroad 1 year ago,All population 1 year and over who lived abroad 1 year ago - Margin of Error,Population 1 year and over who lived in Puerto Rico 1 year ago,Population 1 year and over who lived in Puerto Rico 1 year ago - Margin of Error,Population 1 year and over who lived in U.S. Island Areas 1 year ago,Population 1 year and over who lived in U.S. Island Areas 1 year ago - Margin Error,Population 1 year and over who lived in a foreign country 1 year ago,Population 1 year and over who lived in a foreign country 1 year ago - Margin of Error,Percent of population 1 year and over who lived in the same house 1 year ago,Percent of population 1 year and over who lived in the same house 1 year ago - Margin of Error,Population 1 year and over who lived in a different house within the same state 1 year ago,Population 1 year and over who lived in a different house within the same state 1 year ago - Margin of Error,Percent of population 1 year and over who lived in a different house within the same state 1 year ago,Percent of population 1 year and over who lived in a different house within the same state 1 year ago - Margin of Error,Percent of population 1 year and over who lived in a different state 1 year ago,Percent of population 1 year and over who lived in a different state 1 year ago - Margin of Error,Percent of population 1 year and over who lived abroad 1 year ago,Percent of population 1 year and over who lived abroad 1 year ago - Margin of Error,x,y
11,00161536,01021,1794477075,20592144,Chilton County,Alabama,43484,175,38831,993,4572,1019,472,303,4100,907,2549,757,1551,489,1068,364,483,319,0,25,90,94,386,304,7,11,81,81,0,25,0,25,81,81,89.3,2.25514216715999,4089,893,9.4,2.05328020064409,1.1,0.733589544754152,0.2,0.186273903148777,-86.7187934350784,32.8480623386723
12,00161537,01023,2365869835,19144469,Choctaw County,Alabama,12958,60,11345,433,1572,428,290,162,1282,378,489,183,793,304,247,121,546,292,359,283,5,9,169,99,13,20,41,31,0,19,0,19,41,31,87.6,3.31688270089132,1026,273,7.9,2.10648758182576,4.2,2.253349708425,0.3,0.239229963663662,-88.2631436542081,32.0201318340368
13,00161538,01025,3207494111,36657891,Clarke County,Alabama,24214,82,22314,442,1865,438,603,309,1262,303,722,228,540,185,234,94,306,154,0,22,61,63,193,132,52,34,35,33,0,22,0,22,35,33,92.2,1.79851582694009,1559,395,6.4,1.63114196700327,1.3,0.635981306202403,0.1,0.136283914854546,-87.8308635740794,31.6772462960263
14,00161539,01027,1564251835,5285207,Clay County,Alabama,13272,62,12126,360,1125,349,306,152,819,332,597,291,222,152,120,84,102,93,0,19,0,19,89,91,13,22,21,25,0,19,0,19,21,25,91.4,2.67868722253358,1023,339,7.7,2.55399573284599,0.8,0.700714129917575,0.2,0.188365035579354,-85.8604882755854,33.2692908026307
15,00161540,01029,1450663940,2354896,Cleburne County,Alabama,14868,41,12717,355,2122,337,257,106,1865,334,691,201,1174,265,495,169,679,250,0,19,6,12,658,248,15,25,29,37,0,19,0,19,29,37,85.5,2.37599980559501,1443,283,9.7,1.90322856506488,4.6,1.68141638457868,0.2,0.248856023522917,-85.5187190074286,33.6748572710742
16,00161541,01031,1758565925,3907189,Coffee County,Alabama,50870,99,42003,896,8425,866,2359,615,6066,660,1421,306,4645,626,2341,444,2304,443,437,262,132,86,1222,350,513,272,442,189,57,57,0,28,385,175,82.6,1.75400708640329,6121,818,12,1.60784992649228,4.5,0.87080264819808,0.9,0.371531437978001,-85.9882016373578,31.4028662168329
17,00161542,01033,1535202321,79700277,Colbert County,Alabama,53979,147,48341,771,5441,771,1382,452,4059,655,1997,456,2062,572,1616,536,446,205,73,99,120,158,204,84,49,53,197,176,11,18,0,28,186,173,89.6,1.40735796613235,4995,836,9.3,1.54854540705227,0.8,0.379770655047418,0.4,0.326051209422677,-87.7779432224139,34.653101010124
18,00161543,01035,2202007854,6632046,Conecuh County,Alabama,12373,104,11779,264,585,269,50,28,535,264,297,200,238,156,204,142,34,43,3,7,0,19,31,42,0,19,9,13,0,19,0,19,9,13,95.2,1.97794908434762,551,247,4.5,1.99593126868755,0.3,0.34752323860228,0.1,0.105065706731914,-86.9936686072692,31.4295155992919
19,00161544,01037,1685850815,39987271,Coosa County,Alabama,10774,47,9757,307,984,279,101,77,883,278,271,188,612,203,568,202,44,47,0,19,0,19,44,47,0,19,33,45,0,19,0,19,33,45,90.6,2.82193347428953,940,286,8.7,2.65426583993573,0.4,0.436231743629576,0.3,0.417670036521516,-86.2476813429705,32.9363987663138
20,00161545,01039,2669129020,34231390,Covington County,Alabama,36946,104,32628,640,4279,638,1307,315,2972,555,1437,319,1535,396,961,328,574,219,67,55,57,49,372,183,78,62,39,40,0,25,0,25,39,40,88.3,1.71432753709269,3705,555,10,1.50192713840404,1.6,0.592740863517658,0.1,0.108265710358499,-86.451262001115,31.2488503654091
21,00161546,01041,1576952799,5388561,Crenshaw County,Alabama,13749,49,12531,255,1204,249,111,74,1093,238,692,193,401,158,263,106,138,102,0,19,0,19,74,67,64,77,14,20,0,19,0,19,14,20,91.1,1.82601551903092,1066,232,7.8,1.68716918871926,1,0.741863512143324,0.1,0.145464672072737,-86.3135513343597,31.7318762272674
22,00161547,01043,1903073019,52422496,Cullman County,Alabama,81759,123,74442,912,7268,900,807,308,6461,875,3325,590,3136,590,2278,551,858,246,94,87,61,38,566,205,137,98,49,40,0,28,0,28,49,40,91.1,1.10703121560012,6410,864,7.8,1.05669856813985,1,0.300880164258843,0.1,0.0489241943677478,-86.8675454737555,34.1321836767011
23,00161548,01045,1453244553,4082940,Dale County,Alabama,48567,134,40008,925,8209,906,1680,405,6529,809,1565,357,4964,730,1993,555,2971,479,194,126,396,180,1756,377,625,240,350,177,71,97,0,25,279,136,82.4,1.89097528955185,5238,774,10.8,1.5933968845128,6.1,0.986121964894768,0.7,0.364439569487375,-85.611023732565,31.4320252228119
24,00161549,01047,2534919599,39124778,Dallas County,Alabama,39276,158,34848,849,4353,827,1477,426,2876,682,1551,501,1325,430,896,385,429,235,17,18,12,16,253,115,147,163,75,56,1,2,0,25,74,56,88.7,2.13195379007241,3924,762,10,1.93969975768369,1.1,0.59831363433449,0.2,0.142578641487506,-87.1064589561158,32.3263194700768
25,00161550,01049,2012676479,4121543,DeKalb County,Alabama,70262,211,60685,1151,9427,1101,1915,450,7512,1043,3996,863,3516,827,2326,788,1190,429,236,222,156,112,744,290,54,51,150,104,0,28,0,28,150,104,86.4,1.61749061436698,8237,1252,11.7,1.78155420783253,1.7,0.610550675143449,0.2,0.148016032079822,-85.8039565078316,34.4601707861033
26,00161551,01051,1601769095,99957723,Elmore County,Alabama,80312,191,68802,1163,11202,1142,1251,401,9951,1082,3304,686,6647,843,5463,792,1184,362,28,48,30,46,942,327,184,144,308,144,0,28,0,28,308,144,85.7,1.43369839980731,10018,1122,12.5,1.3967364969603,1.5,0.4507284694789,0.4,0.179298407435522,-86.1491555042172,32.5967969140434
27,00161552,01053,2448115119,20504948,Escambia County,Alabama,36865,113,34742,534,2123,522,385,233,1738,466,911,366,827,234,394,127,433,190,0,25,91,64,329,171,13,21,0,25,0,25,0,25,0,25,94.2,1.41943220720706,1690,452,4.6,1.22601468676419,1.2,0.515381430047593,0,0.06781500067815,-87.1616281026529,31.12621659208
28,00161553,01055,1386373604,34568854,Etowah County,Alabama,101901,208,86878,1442,14770,1428,4987,835,9783,1299,5309,1109,4474,726,3048,637,1426,464,94,45,98,90,1132,446,102,73,253,131,0,28,3,6,250,131,85.3,1.4043574141429,13344,1527,13.1,1.49827485043125,1.4,0.455334952668589,0.2,0.128555148708745,-86.0347695641697,34.0453765665997
29,00161554,01057,1625693290,4330881,Fayette County,Alabama,16372,76,14268,440,2078,448,448,184,1630,415,711,221,919,322,733,260,186,173,0,19,11,14,151,166,24,39,26,43,0,19,0,19,26,43,87.1,2.65689233099036,1892,388,11.6,2.36929259206512,1.1,1.05666897967636,0.2,0.262642503150702,-87.738875454775,33.7214077016996
30,00161555,01059,1641841406,32643981,Franklin County,Alabama,31225,163,27932,794,3136,715,785,299,2351,635,1067,381,1284,473,914,401,370,179,0,25,43,64,273,143,54,65,157,151,0,25,0,25,157,151,89.5,2.49958984343596,2766,629,8.9,2.01388070735924,1.2,0.573225233448834,0.5,0.483579746487664,-87.8438217909174,34.4417797006278
31,00161556,01061,1487897666,11578163,Geneva County,Alabama,26204,94,23269,572,2927,578,788,280,2139,432,1146,366,993,262,556,178,437,187,17,24,31,31,277,143,112,139,8,8,0,22,0,22,8,8,88.8,2.15950529582729,2490,494,9.5,1.8849001668728,1.7,0.713606431011142,0,0.0305294936907022,-85.8389868881559,31.0950755294832
32,00161557,01063,1675782061,33416141,Greene County,Alabama,8319,74,8178,117,141,75,30,32,111,64,63,50,48,37,38,35,10,12,0,17,0,17,10,12,0,17,0,17,0,17,0,17,0,17,98.3,1.10151990362857,131,69,1.6,0.829308324726451,0.1,0.144244143554534,0,0.204351484553432,-87.9522547653587,32.853499002422
33,00161558,01065,1667907112,32423361,Hale County,Alabama,14716,87,13722,250,984,222,111,61,873,210,386,166,487,154,362,137,125,105,15,19,29,21,81,99,0,19,10,10,0,19,0,19,10,10,93.2,1.60690354188829,859,224,5.8,1.52176152786806,0.8,0.713491434159483,0.1,0.0679520606397,-87.6290901969292,32.7630152931817
34,00161559,01067,1454926621,16986823,Henry County,Alabama,16990,55,15549,285,1397,281,290,174,1107,244,342,179,765,197,481,177,284,108,3,6,0,19,281,108,0,19,44,47,2,4,0,19,42,47,91.5,1.65108780075777,1113,306,6.6,1.8009345936701,1.7,0.635645007790862,0.3,0.276632043362934,-85.2414057249117,31.5149189015088
35,00161560,01069,1501854593,4683050,Houston County,Alabama,103111,130,90070,677,12892,677,5618,475,7274,495,2462,346,4812,396,2080,236,2732,334,132,45,253,95,2084,283,263,171,149,44,0,28,3,3,146,44,87.4,0.647271456736171,10160,633,9.9,0.613775813583388,2.6,0.32390553749272,0.1,0.0426720708534247,-85.3025687930454,31.1533183920305
36,00161561,01071,2791974056,126334709,Jackson County,Alabama,51318,164,47912,583,3384,552,399,158,2985,522,1669,487,1316,319,668,214,648,243,17,26,55,56,491,213,85,97,22,31,0,28,0,28,22,31,93.4,1.09617326635567,2736,555,5.3,1.08135765498374,1.3,0.473500868917364,0,0.0604074988766901,-85.9992431907393,34.7797327053703
37,00161562,01073,2878465205,32885044,Jefferson County,Alabama,651278,623,545726,3203,103558,3185,34624,1943,68934,2734,37920,2078,31014,1870,17448,1427,13566,1268,846,428,2127,629,9451,1098,1142,387,1994,382,13,33,21,33,1960,368,83.8,0.485226413681124,89992,3183,13.8,0.488552615428209,2.1,0.194683928174964,0.3,0.0586531769615287,-86.8962818035501,33.5546822204504
38,00161563,01075,1566544637,1600679,Lamar County,Alabama,13816,97,12223,436,1573,404,229,143,1344,366,765,325,579,208,381,203,198,96,0,19,68,51,110,76,20,22,20,22,0,19,0,19,20,22,88.5,3.09403030299033,1375,409,10,2.95951111763903,1.4,0.694773701555696,0.1,0.159232425332151,-88.0968938477446,33.7796074926482
39,00161564,01077,1730146083,133608930,Lauderdale County,Alabama,91668,151,76126,1023,15175,1056,4597,830,10578,987,3889,590,6689,830,4319,738,2370,490,0,28,301,137,2007,486,62,43,367,169,0,28,47,76,320,149,83,1.10756784599375,12805,1258,14,1.37215075392204,2.6,0.534520713503806,0.4,0.184359775196791,-87.6540341827507,34.9014581324587
40,00161565,01079,1788864247,68682382,Lawrence County,Alabama,32847,117,30112,484,2704,482,283,149,2421,438,1181,319,1240,286,985,261,255,147,0,25,23,34,194,136,38,42,31,24,0,25,3,5,28,24,91.7,1.43686121133692,2449,438,7.5,1.3331906250058,0.8,0.447520911521232,0.1,0.0730652600902628,-87.311038124038,34.5219699756141
41,00161566,01081,1573548952,21492291,Lee County,Alabama,157620,333,126035,1646,30505,1628,8904,959,21601,1792,5736,1059,15865,1409,7658,1017,8207,1044,218,100,538,168,6676,911,775,451,1080,310,115,117,0,28,965,302,80,1.03052916454329,22298,1754,14.1,1.11240151818027,5.2,0.662261140337054,0.7,0.196670221377251,-85.3555932531641,32.6012459958897
42,00161567,01083,1450277885,122329729,Limestone County,Alabama,92111,214,80072,1454,11961,1427,1236,456,10725,1333,4082,817,6643,933,4604,855,2039,513,113,138,523,299,999,353,404,233,78,71,9,15,0,28,69,65,86.9,1.56555701554659,9922,1267,10.8,1.37528664723031,2.2,0.556912993426716,0.1,0.0770806621760902,-86.9814222585815,34.8103115956173
43,00161568,01085,1854201378,23721835,Lowndes County,Alabama,10137,40,9067,303,1061,300,320,188,741,231,464,216,277,93,222,84,55,42,1,2,12,15,23,34,19,21,9,16,0,19,0,19,9,16,89.4,2.96813934118691,1006,298,9.9,2.93946492528316,0.5,0.414318232956405,0.1,0.157837235742889,-86.6501197450936,32.1549638252851
44,00161569,01087,1576855717,11345392,Macon County,Alabama,18898,79,17110,343,1774,321,346,136,1428,305,290,117,1138,277,503,163,635,194,14,16,74,59,497,166,50,32,14,14,0,19,0,19,14,14,90.5,1.77510597623183,1139,242,6,1.28031090399074,3.4,1.02646755325577,0.1,0.0740812661285335,-85.6926760913319,32.3861059977991
45,00161570,01089,2076091216,28831382,Madison County,Alabama,353676,414,296308,2892,55568,2777,22169,1834,33399,1749,14203,1362,19196,1591,8649,1069,10547,1137,671,260,1217,323,6971,1056,1688,357,1800,486,36,37,36,55,1728,470,83.8,0.811795371702291,45021,2522,12.7,0.712926330629077,3,0.321461724833,0.5,0.137412612839705,-86.5502264737468,34.7634371682065
46,00161572,01091,2530140238,14966620,Marengo County,Alabama,19354,99,18164,430,1170,433,492,353,678,223,337,175,341,141,276,133,65,46,37,38,21,27,7,12,0,19,20,17,0,19,0,19,20,17,93.9,2.16927699557704,1105,416,5.7,2.14922805788431,0.3,0.237670757272383,0.1,0.0878355490745474,-87.7894776140182,32.2479762337566
47,00161573,01093,1922656563,3184076,Marion County,Alabama,29747,72,26462,611,3199,624,741,257,2458,535,1098,375,1360,472,969,420,391,242,17,29,275,221,99,76,0,22,86,95,0,22,0,22,86,95,89,2.04267225514601,2808,619,9.4,2.08075666977931,1.3,0.813521193742844,0.3,0.319359168837176,-87.8871931328594,34.1367611508576
48,00161574,01095,1465531860,148495464,Marshall County,Alabama,93916,251,81503,1231,12153,1153,2801,627,9352,1024,4570,836,4782,753,3366,587,1416,406,87,66,295,217,945,282,89,77,260,139,0,28,116,113,144,76,86.8,1.2900620830346,10737,1199,11.4,1.2763070860205,1.5,0.432282424770059,0.3,0.148002750444792,-86.306640993731,34.367195982109
49,00161575,01097,3184053031,1074031983,Mobile County,Alabama,409327,528,358286,2657,49987,2630,18879,1593,31108,2195,19454,1833,11654,1210,4220,572,7434,1052,376,151,632,219,5623,1000,803,265,1054,351,31,42,0,28,1023,345,87.5,0.63921923569393,42553,2495,10.4,0.609389592081964,1.8,0.256996556436234,0.3,0.0857498691430039,-88.2068495698987,30.7909006645652
50,00161576,01099,2656469661,22609681,Monroe County,Alabama,21174,163,19517,466,1634,454,297,146,1337,422,792,340,545,203,348,177,197,117,0,22,39,68,106,74,52,69,23,20,0,22,0,22,23,20,92.2,2.08328735158141,1437,410,6.8,1.93563208834093,0.9,0.55251804626225,0.1,0.0944517628089575,-87.3652327440188,31.5712958815323
51,00161577,01101,2033918497,37844005,Montgomery County,Alabama,224483,331,178466,2288,44550,2258,27224,2098,17326,1299,2372,550,14954,1232,8192,899,6762,818,280,156,1140,337,4523,685,819,271,1467,502,27,32,41,30,1399,503,79.5,1.01246731670444,37788,2348,16.8,1.045664395258,3,0.364365779314499,0.7,0.223622875522864,-86.2076543605594,32.2205552520719
52,00161578,01103,1500612908,50921199,Morgan County,Alabama,117789,287,102817,1419,14892,1354,5387,924,9505,1022,4293,684,5212,813,3372,635,1840,483,39,33,195,146,1266,395,340,179,80,50,0,28,0,28,80,50,87.3,1.18577347166788,13052,1313,11.1,1.11437808949748,1.6,0.410037603163318,0.1,0.0424484629648688,-86.8529531764999,34.4536108573691
53,00161579,01105,1863900621,10937769,Perry County,Alabama,9486,17,8882,205,599,205,95,61,504,186,40,50,464,188,330,157,134,71,14,21,26,25,94,53,0,17,5,10,0,17,0,17,5,10,93.6,2.15455506063149,465,176,4.9,1.85534500459,1.4,0.748467150329567,0.1,0.105418469169358,-87.2943307398526,32.6387465230266
54,00161580,01107,2282893837,22521210,Pickens County,Alabama,20071,76,17907,447,2108,458,294,157,1814,430,937,357,877,218,406,140,471,154,11,22,25,26,424,144,11,16,56,41,0,22,0,22,56,41,89.2,2.20132179844294,1637,414,8.2,2.06244628228362,2.3,0.767224714807699,0.3,0.204272092344772,-88.0886455150091,33.2812338157621
55,00161581,01109,1740647518,2336975,Pike County,Alabama,32831,185,28453,851,3829,726,1190,521,2639,454,578,195,2061,386,1485,341,576,164,20,33,10,12,503,151,43,49,549,389,0,25,0,25,549,389,86.7,2.54564358159755,3253,652,9.9,1.98514293786157,1.8,0.499430047858326,1.7,1.18481830833087,-85.9409258425936,31.8029002194124
56,00161582,01111,1503615935,9285419,Randolph County,Alabama,22335,93,19991,504,2344,510,533,271,1811,429,726,273,1085,327,661,270,424,158,0,22,27,33,397,152,0,22,0,22,0,22,0,22,0,22,89.5,2.22555892378376,1920,470,8.6,2.10401612444478,1.9,0.707365731006389,0,0.0985001119319454,-85.4590864933676,33.2940059233752
57,00161583,01113,1660577613,15641643,Russell County,Alabama,57465,190,45817,1412,11446,1388,2414,678,9032,1274,2807,857,6225,972,1471,459,4754,869,257,283,304,180,3619,843,574,426,202,143,56,82,0,28,146,122,79.7,2.44296572361514,6692,1185,11.6,2.06176527205493,8.3,1.51197743171889,0.4,0.24884441017282,-85.1849625418246,32.2885661152896
58,00164997,01115,1635844944,56400695,St. Clair County,Alabama,86480,230,76269,1342,10181,1348,1658,556,8523,1128,3243,723,5280,864,4279,769,1001,331,13,24,178,168,584,321,226,175,30,41,0,28,0,28,30,41,88.2,1.53397499757207,9180,1193,10.6,1.37922079893229,1.2,0.382735075911719,0,0.0474097159640923,-86.3145434104033,33.716021656475
59,00161584,01117,2034112797,62537787,Shelby County,Alabama,208700,360,181276,1959,26842,1906,4965,1024,21877,1534,7825,1133,14052,1055,8942,798,5110,761,110,57,873,323,3885,753,242,133,582,286,0,28,24,36,558,284,86.9,0.926632921194541,21732,1723,10.4,0.825391545062598,2.4,0.364613775412668,0.3,0.137037967406697,-86.6605566496439,33.2645286353413
60,00161585,01119,2340898915,24634883,Sumter County,Alabama,12903,75,11890,403,1005,403,107,87,898,389,208,117,690,368,595,347,95,87,0,19,0,19,95,87,0,19,8,9,0,19,0,19,8,9,92.1,3.07703374645268,910,376,7.1,2.91376263466368,0.7,0.674248217924087,0.1,0.0697502896225202,-88.1988372191985,32.5915646462126
61,00161586,01121,1908256939,60926366,Talladega County,Alabama,79751,229,68825,1108,10830,1113,2367,649,8463,936,4745,736,3718,561,2648,528,1070,259,72,59,141,106,746,237,111,72,96,55,0,28,0,28,96,55,86.3,1.3670460103485,9760,1114,12.2,1.39640559329831,1.3,0.324737966498032,0.1,0.0689637862870667,-86.1657410130696,33.3804555529847
62,00161587,01123,1855782851,128806123,Tallapoosa County,Alabama,40151,177,36356,707,3776,657,682,235,3094,624,1106,343,1988,572,1193,420,795,413,55,51,0,25,723,412,17,27,19,20,0,25,0,25,19,20,90.5,1.71501217347029,2981,591,7.4,1.47157948382837,2,1.02857993532811,0,0.0498115230275027,-85.7975053653148,32.8628014914295
63,00161588,01125,3421009204,78715350,Tuscaloosa County,Alabama,203806,361,168542,2039,34547,1936,9814,992,24733,1681,8280,1104,16453,1238,8058,952,8395,951,745,216,1371,361,5308,646,971,311,717,269,0,28,12,21,705,269,82.7,0.989679727764023,26152,1763,12.8,0.86473966836857,4.1,0.466563171824213,0.4,0.131986792317009,-87.5250294280787,33.2899806891303
64,00161589,01127,2048686080,36754696,Walker County,Alabama,63791,170,55314,948,8424,937,1134,302,7290,883,4045,694,3245,586,2386,521,859,343,6,12,157,115,633,315,63,48,53,51,0,28,21,39,32,30,86.7,1.46802712311638,7565,919,11.9,1.44029540452091,1.3,0.53768142971867,0.1,0.0799482754884801,-87.2974130509336,33.803581039941
65,00161590,01129,2797720360,21652733,Washington County,Alabama,16538,54,15357,406,1155,383,66,49,1089,400,433,242,656,306,540,291,116,78,0,19,35,51,80,61,1,2,26,33,0,19,0,19,26,33,92.9,2.43615642204637,1039,382,6.3,2.30974080931668,0.7,0.471635508314272,0.2,0.199539791990569,-88.2079110363064,31.4079938240875
66,00161591,01131,2301075082,49057525,Wilcox County,Alabama,10685,103,9865,297,796,271,167,184,629,213,212,110,417,151,359,144,58,49,4,6,46,45,8,10,0,19,24,26,0,19,0,19,24,26,92.3,2.63326412317464,738,258,6.9,2.41368179271367,0.5,0.458556950453921,0.2,0.243322140136166,-87.3082633736524,31.9894180423157
67,00161592,01133,1587608920,48922726,Winston County,Alabama,23704,77,20809,540,2858,525,519,186,2339,501,1210,352,1129,285,946,264,183,86,0,22,28,31,143,87,12,14,37,40,0,22,0,22,37,40,87.8,2.2601778208061,2675,478,11.3,2.01620406481316,0.8,0.362799297368409,0.2,0.168747128868894,-87.3736914612954,34.1493694083697
68,01419964,02013,18091255385,20800268276,Aleutians East Borough,Alaska,3417,5,2810,149,521,101,177,47,344,93,23,23,321,91,87,40,234,72,6,12,27,20,8,11,193,72,86,66,24,25,0,9,62,61,82.2,4.35888951711239,287,66,8.4,1.93147977417486,6.8,2.10708767391173,2.5,1.93151536522653,-161.943999807528,55.4548146352403
69,01419965,02016,11375510886,25186009907,Aleutians West Census Area,Alaska,5705,18,4450,159,1005,112,262,69,743,106,171,66,572,105,150,42,422,103,2,3,48,40,55,22,317,88,250,141,0,13,1,3,249,140,78,2.77614162518244,583,104,10.2,1.82267715559756,7.4,1.80528297699516,4.4,2.4714775404461,-166.973257895311,53.5729574772445
70,01416061,02020,4419562836,615500204,Anchorage Municipality,Alaska,291887,411,234252,2853,55068,2782,37067,2663,18001,1332,0,22,18001,1332,5234,721,12767,1183,653,236,2226,591,4189,684,5699,790,2567,556,53,47,199,135,2315,535,80.3,0.970878649723347,42301,2759,14.5,0.945008506797252,4.4,0.40524703144605,0.9,0.190480648631449,-149.10935048315,61.1518300419091
71,01419966,02050,105228817205,12768645652,Bethel Census Area,Alaska,17709,39,15496,300,2209,309,1079,196,1130,216,499,99,631,183,456,165,175,63,5,4,46,32,60,34,64,34,4,4,0,15,2,3,2,3,87.5,1.6830575631456,2034,275,11.5,1.552676692283,1,0.355744656226531,0,0.0225873301711088,-159.210116603147,61.3470640215588
72,01419967,02060,1248324005,949768219,Bristol Bay Borough,Alaska,876,87,682,67,194,45,52,26,142,36,23,11,119,36,67,32,52,20,0,9,7,9,12,10,33,15,0,9,0,9,0,9,0,9,77.9,1.13435279660663,142,43,16.2,4.6371666252491,5.9,2.2056766222955,0,1.02739726027397,-156.701304040227,58.7444881099613
73,01419988,02068,32729577065,66105677,Denali Borough,Alaska,2230,380,1411,297,677,530,46,49,631,544,28,30,603,549,140,77,463,503,10,12,61,43,49,43,343,533,142,192,0,9,0,9,142,192,63.3,7.81837827744436,214,96,9.6,3.98225568802622,20.8,22.276855491472,6.4,8.54121667833505,-149.999772268173,63.7978633072953
74,01419968,02070,47478023796,5950680491,Dillingham Census Area,Alaska,4897,14,4222,141,669,141,352,86,317,86,61,28,256,90,189,78,67,42,3,6,18,14,8,8,38,38,6,8,0,9,0,9,6,8,86.2,2.86874445070075,602,119,12.3,2.4298050615137,1.4,0.857659040520122,0.1,0.163364950176039,-158.204495839862,59.8248360218967
75,01419969,02090,18983364355,273047179,Fairbanks North Star Borough,Alaska,97893,340,76743,1305,20318,1286,4358,758,15960,1246,6990,913,8970,888,1930,456,7040,824,637,268,1098,366,3161,552,2144,477,832,258,118,167,43,63,671,180,78.4,1.30498586888002,13278,1271,13.6,1.29750142853842,7.2,0.841364694781588,0.8,0.263536531491372,-146.564798629908,64.8115180079753
76,01419970,02100,6059513753,1051059522,Haines Borough,Alaska,2509,8,2147,152,355,149,201,116,154,98,0,9,154,98,138,98,16,20,0,9,5,10,5,9,6,8,7,10,0,9,0,9,7,10,85.6,6.05204315064092,339,152,13.5,6.05803733159955,0.6,0.797127737473794,0.3,0.398564172643755,-136.132849574764,59.4181853990965
77,02371430,02105,16981566503,7801359160,Hoonah-Angoon Census Area,Alaska,2109,11,1829,68,280,65,71,27,209,67,10,11,199,67,104,52,95,58,11,10,3,3,23,25,58,45,0,9,0,9,0,9,0,9,86.7,3.19239113991405,185,60,8.8,2.84458229970121,4.5,2.75001818141223,0,0.42674253200569,-137.287921744819,58.7278548991387
78,01419971,02110,7002973758,1426663852,Juneau City and Borough,Alaska,32090,76,25978,833,5869,837,3578,672,2291,453,0,20,2291,453,664,202,1627,450,130,93,66,48,292,194,1139,396,243,122,0,20,0,20,243,122,81,2.58873421606937,4242,702,13.2,2.1873733480734,5.1,1.40225460303408,0.8,0.38017651163677,-134.176842523812,58.5199929872506
79,01419972,02122,41500185165,22525337842,Kenai Peninsula Borough,Alaska,57679,120,48461,757,9070,755,1838,320,7232,703,3508,573,3724,533,1664,296,2060,391,152,111,367,182,445,164,1096,302,148,77,1,3,0,22,147,77,84,1.30074357663647,7010,720,12.2,1.24803182789457,3.6,0.677848975925524,0.3,0.133496392713792,-150.28732132155,60.1927665849565
80,01419973,02130,12579243763,4651750442,Ketchikan Gateway Borough,Alaska,13590,49,11068,309,2406,277,777,177,1629,209,606,118,1023,192,289,86,734,165,30,26,69,48,197,73,438,118,116,57,8,13,3,5,105,55,81.4,2.25468897343269,1672,229,12.3,1.68447854158472,5.4,1.21397185011058,0.9,0.419414757087896,-130.535026858729,55.5347993864297
81,01419974,02150,17133720200,14166823224,Kodiak Island Borough,Alaska,13432,84,10886,394,2362,356,454,148,1908,350,782,312,1126,282,612,235,514,178,108,98,16,15,165,85,225,101,184,122,2,4,0,15,182,121,81,2.88917465683712,1848,418,13.8,3.11078176706284,3.8,1.3249774708803,1.4,0.908238336354209,-153.473137173498,57.447412079167
82,01419985,02158,44221226622,6694349084,Kusilvak Census Area,Alaska,7985,22,7351,136,634,134,327,102,307,152,42,17,265,151,199,99,66,62,0,13,1,4,21,20,44,55,0,13,0,13,0,13,0,13,92.1,1.68420140051131,568,143,7.1,1.79075061664828,0.8,0.776452515179383,0,0.162805259862242,-163.372681066009,62.1699578144648
